Nome;Cidade;Email;Sexo
Miguel Thales Silveira;Araguaína;mmiguelthalessilveira@nokia.com;Masculino
Kaique Pedro Henrique da Cruz;Caruaru;kaiquepedrohenriquedacruz..kaiquepedrohenriquedacruz@riobc.com.br;Feminino
Betina Pietra Novaes;Campina Grande;betinapietranovaes_@agreonoma.eng.br;Masculino
Edson Leandro Vitor Rezende;Macapá;edsonleandrovitorrezende-88@purkyt.com;Feminino
Iago Rafael Almada;Curitiba;iagorafaelalmada__iagorafaelalmada@lifefp.com.br;Masculino
Iago Filipe das Neves;Boa Vista;iagofilipedasneves__iagofilipedasneves@dosnu.com.br;Feminino
Bernardo Arthur Pereira;Rio de Janeiro;bernardoarthurpereira_@homail.com;Masculino
Benedito Mário Novaes;Ariquemes;beneditomarionovaes..beneditomarionovaes@gamal.com.br;Masculino
Igor Eduardo dos Santos;Juazeiro;igoreduardodossantos-79@gdsambiental.com.br;Masculino
Benjamin Luan Monteiro;Aracaju;benjaminluanmonteiro__benjaminluanmonteiro@i9tec.com.br;Masculino
Hadassa Marcela Moreira;Campo Grande;hhadassamarcelamoreira@selfcd.com.br;Masculino
Matheus Mateus Oliver Silva;Rio do Sul;mmatheusmateusoliversilva@yahoo.ca;Feminino
Catarina Maya Nina Peixoto;Rio Branco;catarinamayaninapeixoto_@itau-unibanco.com.br;Masculino
Benedito Ricardo Gabriel da Silva;Macapá;beneditoricardogabrieldasilva..beneditoricardogabrieldasilva@band.com;Masculino
César Gabriel Sebastião Cardoso;Contagem;ccesargabrielsebastiaocardoso@camarasjc.sp.gov.br;Masculino
Cauê Luan da Rocha;Boa Vista;caueluandarocha..caueluandarocha@radicigroup.com;Masculino
Cauê Henry Miguel Moraes;Jaraguá do Sul;cauehenrymiguelmoraes_@agenciadbd.com;Masculino
Flávia Mirella Luciana Baptista;Boa Vista;fflaviamirellalucianabaptista@daruma.com.br;Masculino
Luana Marcela da Conceição;Florianópolis;lluanamarceladaconceicao@esctech.com.br;Feminino
Natália Aurora Cavalcanti;Aracaju;nataliaauroracavalcanti..nataliaauroracavalcanti@goldfinger.com.br;Masculino
Bruno Fernando Marcos Vinicius Silva;Ariquemes;bbrunofernandomarcosviniciussilva@zf-lenksysteme.com;Feminino
Vitor Guilherme Martin Oliveira;Macapá;vitorguilhermemartinoliveira..vitorguilhermemartinoliveira@studiodeideias.com;Feminino
Brenda Isadora da Costa;Boa Vista;brendaisadoradacosta_@rotadasbandeiras.com.br;Masculino
Giovana Betina Isis Almeida;São Luís;giovanabetinaisisalmeida..giovanabetinaisisalmeida@sandvik.com;Feminino
Giovanna Hadassa Daniela das Neves;Campo Grande;giovannahadassadanieladasneves_@allcor.com.br;Masculino
Beatriz Daiane Silva;Aracaju;bbeatrizdaianesilva@valparaibaimoveis.com.br;Feminino
Lorenzo Diogo Rezende;São Paulo;lorenzodiogorezende_@opusvp.com.br;Feminino
Luís Carlos Fogaça;São Luís;luiscarlosfogaca-77@2emesconstrutora.com.br;Masculino
Sueli Alessandra Sara Baptista;Vitória;suelialessandrasarabaptista__suelialessandrasarabaptista@eccotrans.com.br;Masculino
Ruan Antonio Benício Silveira;Piracicaba;ruanantoniobeniciosilveira_@oticascarol.com.br;Masculino
Brenda Luzia Alessandra Gonçalves;Várzea Grande;brendaluziaalessandragoncalves-89@vinax.com.br;Feminino
Andreia Eduarda Mirella Nunes;Maceió;andreiaeduardamirellanunes__andreiaeduardamirellanunes@lphbrasil.com.br;Masculino
Miguel Eduardo Filipe Martins;Blumenau;migueleduardofilipemartins_@l3ambiental.com.br;Masculino
Luís Lucca Emanuel Souza;Teresina;luisluccaemanuelsouza__luisluccaemanuelsouza@videoaction.com.br;Masculino
Agatha Bárbara Bernardes;Parnamirim;agathabarbarabernardes-87@selaz.com.br;Masculino
Giovanna Elza da Paz;Araguaína;giovannaelzadapaz..giovannaelzadapaz@tita.com.br;Feminino
Mateus Isaac Renato Castro;Sobral;mateusisaacrenatocastro..mateusisaacrenatocastro@isometro.com.br;Feminino
Sérgio Yago André Nogueira;Brasília;sergioyagoandrenogueira-94@yande.com.br;Masculino
Pedro Henrique Erick Nunes;Gurupi;ppedrohenriqueericknunes@indaseg.com.br;Feminino
Evelyn Isabelly Marina Drumond;Cariacica;evelynisabellymarinadrumond-85@lumavale.com.br;Masculino
Benjamin Luiz Corte Real;São Luís;benjaminluizcortereal..benjaminluizcortereal@octagonbrasil.com.br;Feminino
Hadassa Sônia Jesus;Ji-Paraná;hadassasoniajesus-91@lognat.com.br;Feminino
Malu Stefany Luciana Aragão;Teixeira de Freitas;malustefanylucianaaragao__malustefanylucianaaragao@eccotrans.com.br;Feminino
Eloá Isabella Luana da Mata;Maceió;eloaisabellaluanadamata..eloaisabellaluanadamata@sha.com.br;Feminino
Giovanni Miguel da Mota;Erechim;giovannimigueldamota_@fiorecomunicacao.com.br;Feminino
Fábio Emanuel Mendes;Boa Vista;fabioemanuelmendes__fabioemanuelmendes@sorocaba.com;Masculino
Caroline Eduarda Liz Fogaça;Campo Grande;carolineeduardalizfogaca..carolineeduardalizfogaca@ntiequipamentos.com.br;Masculino
Nathan Noah Márcio Nogueira;Natal;nnathannoahmarcionogueira@br.ibn.com;Masculino
Luna Patrícia Heloisa Monteiro;Colatina;llunapatriciaheloisamonteiro@rcstechnology.com.br;Feminino
Rita Emily Allana Assunção;Juazeiro;rritaemilyallanaassuncao@biconsult.com.br;Masculino
Luís Guilherme Oliver Brito;São Paulo;luisguilhermeoliverbrito__luisguilhermeoliverbrito@unimedsjc.com.br;Feminino
Luís Davi Jesus;Boa Vista;luisdavijesus-85@mpc.com.br;Masculino
Nathan Renato Melo;Vitória;nathanrenatomelo_@aliancacadeiras.com.br;Feminino
Samuel Leonardo Gomes;Olinda;samuelleonardogomes-95@dprf.gov.br;Masculino
José Samuel Porto;São Bento do Sul;jjosesamuelporto@droganews.com.br;Feminino
Daniel Márcio Vinicius Moraes;Santa Luzia;danielmarcioviniciusmoraes..danielmarcioviniciusmoraes@aiesec.net;Masculino
Ayla Isabelle Dias;Itaguaí;aylaisabelledias_@fortlar.com.br;Feminino
Samuel Calebe Mendes;Palmas;ssamuelcalebemendes@infilink.com.br;Feminino
Carolina Aline da Conceição;Parnaíba;carolinaalinedaconceicao_@optovac.com.br;Feminino
Helena Alana Giovanna da Cunha;Arapiraca;hhelenaalanagiovannadacunha@uel.br;Masculino
Cauã Gustavo Manuel Almeida;Belém;cauagustavomanuelalmeida-89@gilbertorodrigues.com;Masculino
Carolina Lavínia Mirella Barros;Várzea Grande;carolinalaviniamirellabarros__carolinalaviniamirellabarros@engeseg.com.br;Masculino
Josefa Isabela Bruna Bernardes;Macapá;josefaisabelabrunabernardes_@recoferindustria.com.br;Masculino
Nathan Breno Vitor Monteiro;Arapiraca;nathanbrenovitormonteiro..nathanbrenovitormonteiro@temavonfeccaosjc.com.br;Masculino
Isaac Iago Felipe Rodrigues;Bagé;isaaciagofeliperodrigues..isaaciagofeliperodrigues@said.adv.br;Feminino
Milena Emanuelly Débora Ferreira;Goiânia;mmilenaemanuellydeboraferreira@fulltransport.com.br;Feminino
Tereza Gabrielly Valentina Cavalcanti;Paulo Afonso;terezagabriellyvalentinacavalcanti_@patrilarm.com.br;Masculino
Filipe Henry Brito;São Gonçalo;filipehenrybrito..filipehenrybrito@uol.com;Feminino
Luna Isabelle Maria Carvalho;Boa Vista;lunaisabellemariacarvalho-88@amure.com.br;Masculino
Elza Cláudia Aurora Farias;Boa Vista;elzaclaudiaaurorafarias__elzaclaudiaaurorafarias@virtualcriativa.com.br;Masculino
Esther Francisca Kamilly Cavalcanti;Cidade Ocidental;estherfranciscakamillycavalcanti-96@dpi.ig.br;Masculino
André Daniel Anderson Novaes;Sinop;aandredanielandersonnovaes@psq.med.br;Masculino
Luís Levi Yago Nascimento;Brasília;luisleviyagonascimento_@allianceconsultoria.com.br;Masculino
Emanuel Arthur da Luz;Brasília;emanuelarthurdaluz..emanuelarthurdaluz@grupoannaprado.com.br;Masculino
Eloá Rosângela Manuela Teixeira;Teresina;eeloarosangelamanuelateixeira@gemail.com;Feminino
Catarina Lavínia Souza;Boa Vista;ccatarinalaviniasouza@flex-erp.com;Masculino
Sabrina Helena Mariane Caldeira;Boa Vista;sabrinahelenamarianecaldeira@lojaprincezinha.com.br;Feminino
Jéssica Maria Mendes;Manaus;jessicamariamendes_@br.rhodia.com;Feminino
Elisa Sabrina Sara Fogaça;Teresina;elisasabrinasarafogaca..elisasabrinasarafogaca@vitalliimoveis.com;Masculino
Kauê Bento Ricardo Rezende;Maceió;kauebentoricardorezende_@willianareiaepedra.com.br;Feminino
Ruan Cauã Bernardo Novaes;Boa Vista;rruancauabernardonovaes@tribunadeindaia.com.br;Masculino
Nelson Nathan Moraes;Ilhéus;nelsonnathanmoraes_@araraquara.com.br;Feminino
Nicolas Pedro Henrique Cauã Araújo;Cruzeiro;nicolaspedrohenriquecauaaraujo_@leoshehtman.com.br;Masculino
Nicolas Nathan Martin Aragão;Salvador;nicolasnathanmartinaragao..nicolasnathanmartinaragao@riobc.com.br;Feminino
Juan Francisco Corte Real;Campina Grande;juanfranciscocortereal__juanfranciscocortereal@lynce.com.br;Masculino
Débora Juliana Lima;Brasília;deborajulianalima..deborajulianalima@marcenariamagno.com.br;Masculino
Luiz Luan Souza;Lages;luizluansouza_@odebrecht.com;Feminino
Raimundo Hugo José Lima;Boa Vista;rraimundohugojoselima@gm.com;Masculino
Caio Francisco Heitor Fogaça;Palmas;caiofranciscoheitorfogaca_@inglesasset.com.br;Feminino
Cláudio Julio Almeida;Patos de Minas;claudiojulioalmeida..claudiojulioalmeida@ssala.com.br;Masculino
Yago Hugo Ribeiro;Brasília;yagohugoribeiro__yagohugoribeiro@cielo.com.br;Masculino
Mário Ian dos Santos;Itacoatiara;marioiandossantos_@spires.com.br;Masculino
Lara Isadora Aline Aparício;Londrina;laraisadoraalineaparicio-78@centrovias.com.br;Masculino
Nathan Alexandre Cauê Dias;Colatina;nathanalexandrecauedias-79@cppcoder.com;Feminino
Rayssa Simone Natália Ferreira;Luziânia;rayssasimonenataliaferreira..rayssasimonenataliaferreira@com.br;Masculino
Matheus Rodrigo Caldeira;São Luís;matheusrodrigocaldeira-99@smalte.com.br;Feminino
Fábio Carlos Eduardo Kevin Rocha;São Paulo;fabiocarloseduardokevinrocha_@cntbrasil.com.br;Masculino
Kevin Samuel Miguel da Cruz;Jaboatão dos Guararapes;kevinsamuelmigueldacruz-70@owl-ti.com.br;Masculino
